file: videos/n01443537/goldfish_1.mp4, %Passed: 65.05376344086021, avg_byte_size: 48691.98387096774, layer: 7, num_bins_used: 20, Delta Value: 0.1
file: videos/n01443537/goldfish_2.mp4, %Passed: 57.75401069518716, avg_byte_size: 49828.11229946524, layer: 7, num_bins_used: 20, Delta Value: 0.1
file: videos/n01443537/goldfish_3.mp4, %Passed: 93.92265193370166, avg_byte_size: 58684.64640883978, layer: 7, num_bins_used: 20, Delta Value: 0.1
file: videos/n01882714/koala_1.mp4, %Passed: 100.0, avg_byte_size: 49635.846153846156, layer: 7, num_bins_used: 20, Delta Value: 0.1
file: videos/n01882714/koala_2.mp4, %Passed: 95.8904109589041, avg_byte_size: 53198.438356164384, layer: 7, num_bins_used: 20, Delta Value: 0.1
file: videos/n01882714/koala_3.mp4, %Passed: 93.44827586206897, avg_byte_size: 55106.020689655175, layer: 7, num_bins_used: 20, Delta Value: 0.1
file: videos/n02085620/dog_1.mp4, %Passed: 50.93457943925234, avg_byte_size: 42114.41588785047, layer: 7, num_bins_used: 20, Delta Value: 0.1
file: videos/n02099601/golden_retriever_1.mp4, %Passed: 57.14285714285714, avg_byte_size: 46845.30434782609, layer: 7, num_bins_used: 20, Delta Value: 0.1
file: videos/n02099712/golden_retriever_1.mp4, %Passed: 70.6896551724138, avg_byte_size: 49805.120689655174, layer: 7, num_bins_used: 20, Delta Value: 0.1
file: videos/n02110958/pug_1.mp4, %Passed: 69.71153846153845, avg_byte_size: 51064.83653846154, layer: 7, num_bins_used: 20, Delta Value: 0.1
file: videos/n02110958/pug_3.mp4, %Passed: 100.0, avg_byte_size: 52349.005847953216, layer: 7, num_bins_used: 20, Delta Value: 0.1
file: videos/n02110958/pug_4.mp4, %Passed: 28.225806451612907, avg_byte_size: 41467.1370967742, layer: 7, num_bins_used: 20, Delta Value: 0.1
file: videos/n02206856/bee_1.mp4, %Passed: 87.34177215189874, avg_byte_size: 49551.70253164557, layer: 7, num_bins_used: 20, Delta Value: 0.1
file: videos/n02391049/zebra_1.mp4, %Passed: 100.0, avg_byte_size: 46745.13170731707, layer: 7, num_bins_used: 20, Delta Value: 0.1
file: videos/n02391049/zebra_2.mp4, %Passed: 97.12230215827337, avg_byte_size: 46880.21582733813, layer: 7, num_bins_used: 20, Delta Value: 0.1
