file: videos/n01443537/goldfish_1.mp4, %Passed: 67.74193548387096, avg_byte_size: 90163.53225806452, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n01443537/goldfish_2.mp4, %Passed: 67.37967914438502, avg_byte_size: 93690.66310160428, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n01443537/goldfish_3.mp4, %Passed: 92.81767955801105, avg_byte_size: 99548.43093922651, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n01882714/koala_1.mp4, %Passed: 100.0, avg_byte_size: 81308.92307692308, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n01882714/koala_2.mp4, %Passed: 98.63013698630137, avg_byte_size: 96324.12328767123, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n01882714/koala_3.mp4, %Passed: 94.82758620689656, avg_byte_size: 96200.4551724138, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n02085620/dog_1.mp4, %Passed: 52.80373831775701, avg_byte_size: 76652.7663551402, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n02099601/golden_retriever_1.mp4, %Passed: 59.006211180124225, avg_byte_size: 87251.32919254659, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n02099712/golden_retriever_1.mp4, %Passed: 70.6896551724138, avg_byte_size: 90947.22844827586, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n02110958/pug_1.mp4, %Passed: 76.4423076923077, avg_byte_size: 98085.13942307692, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n02110958/pug_3.mp4, %Passed: 100.0, avg_byte_size: 88072.27485380117, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n02110958/pug_4.mp4, %Passed: 42.74193548387097, avg_byte_size: 78718.6370967742, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n02206856/bee_1.mp4, %Passed: 83.86075949367088, avg_byte_size: 81011.32278481012, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n02391049/zebra_1.mp4, %Passed: 100.0, avg_byte_size: 79387.11707317074, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n02391049/zebra_2.mp4, %Passed: 97.48201438848922, avg_byte_size: 76146.87050359712, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n02391049/zebra_3.mp4, %Passed: 98.47328244274809, avg_byte_size: 93231.97709923664, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n02510455/panda_1.mp4, %Passed: 87.5776397515528, avg_byte_size: 90965.0, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n02510455/panda_2.mp4, %Passed: 96.6824644549763, avg_byte_size: 96975.83886255925, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n02510455/panda_3.mp4, %Passed: 77.93427230046949, avg_byte_size: 99461.27699530516, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n02510455/panda_4.mp4, %Passed: 98.67549668874173, avg_byte_size: 95915.60264900663, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n02510455/panda_5.mp4, %Passed: 95.86206896551724, avg_byte_size: 82982.1724137931, layer: 11, num_bins_used: 127, Delta Value: 0.1
file: videos/n02676566/guitar_1.mp4, %Passed: 100.0, avg_byte_size: 67665.12025316455, layer: 11, num_bins_used: 127, Delta Value: 0.1
