file: videos/n01443537/goldfish_1.mp4, %Passed: 73.65591397849462, avg_byte_size: 39672.591397849465, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n01443537/goldfish_2.mp4, %Passed: 62.56684491978609, avg_byte_size: 40788.61497326203, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n01443537/goldfish_3.mp4, %Passed: 92.81767955801105, avg_byte_size: 42192.696132596684, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n01882714/koala_1.mp4, %Passed: 100.0, avg_byte_size: 35689.846153846156, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n01882714/koala_2.mp4, %Passed: 97.94520547945206, avg_byte_size: 40947.04794520548, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n01882714/koala_3.mp4, %Passed: 93.44827586206897, avg_byte_size: 41042.1724137931, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n02085620/dog_1.mp4, %Passed: 45.794392523364486, avg_byte_size: 35732.0, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n02099601/golden_retriever_1.mp4, %Passed: 55.27950310559007, avg_byte_size: 38528.96894409938, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n02099712/golden_retriever_1.mp4, %Passed: 64.65517241379311, avg_byte_size: 39650.16379310345, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n02110958/pug_1.mp4, %Passed: 73.5576923076923, avg_byte_size: 41901.495192307695, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n02110958/pug_3.mp4, %Passed: 100.0, avg_byte_size: 38880.26315789474, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n02110958/pug_4.mp4, %Passed: 36.29032258064516, avg_byte_size: 36493.26612903226, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n02206856/bee_1.mp4, %Passed: 79.43037974683544, avg_byte_size: 37218.29113924051, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n02391049/zebra_1.mp4, %Passed: 100.0, avg_byte_size: 36442.170731707316, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n02391049/zebra_2.mp4, %Passed: 97.12230215827337, avg_byte_size: 36580.78417266187, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n02391049/zebra_3.mp4, %Passed: 97.70992366412213, avg_byte_size: 40427.53435114504, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n02510455/panda_1.mp4, %Passed: 88.19875776397515, avg_byte_size: 39328.09316770186, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n02510455/panda_2.mp4, %Passed: 96.2085308056872, avg_byte_size: 41203.42654028436, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n02510455/panda_3.mp4, %Passed: 75.11737089201877, avg_byte_size: 42356.60093896714, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n02510455/panda_4.mp4, %Passed: 99.33774834437085, avg_byte_size: 40928.26490066225, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n02510455/panda_5.mp4, %Passed: 95.86206896551724, avg_byte_size: 37120.96551724138, layer: 11, num_bins_used: 15, Delta Value: 0.1
file: videos/n02676566/guitar_1.mp4, %Passed: 100.0, avg_byte_size: 33346.379746835446, layer: 11, num_bins_used: 15, Delta Value: 0.1
